name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level,link_rakuten
ミニナノ クレヨンしんちゃん vol.2,NBMC_20,2021/4/17,105×180×13 (mm),"32×40×23 (mm)
 （参考：しんちゃん 園服ver）","70
 (参考：しんちゃん 園服ver）",NA,12,NA,https://item.rakuten.co.jp/diablock/4972825220368/
ポケットモンスター ニンフィア,NBPM_073,2021/1/23,105×180×13 (mm),52×62×60 (mm),170,NA,12,3,https://item.rakuten.co.jp/diablock/4972825220078/
ポケットモンスター グレイシア,NBPM_072,2021/1/23,105×180×13 (mm),44×50×60 (mm),160,NA,12,2,https://item.rakuten.co.jp/diablock/4972825220054/
ポケットモンスター リーフィア,NBPM_071,2021/1/23,105×180×13 (mm),44×50×60 (mm),140,NA,12,2,https://item.rakuten.co.jp/diablock/4972825220061/
江戸川 コナン（スケボーver.),CN-32,2021/1/23,105×140×70 (mm),64×118×60 (mm),320,NA,12,4,https://item.rakuten.co.jp/diablock/4972825220139/
ミニナノ 名探偵コナン02,NBMC_18,2021/1/23,105×180×13 (mm),"42×46×28 (mm)
 （参考：コナン）",80 （参考：コナン）,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825219942/
ミニナノ リラックマ,NBMC_17,2021/1/23予,105×180×13 (mm),"20×50×28 (mm)
 （参考：リラックマ）",60 （参考：リラックマ）,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825219966/
ミニナノ ポケットモンスター みずタイプ,NBMC_16,2021/1/23予,105×180×13 (mm),"20×38×40 (mm)
 （参考：コイキング）","70
 （参考：コイキング）",NA,12,NA,https://item.rakuten.co.jp/diablock/4972825219928/
ミニナノ エヴァンゲリオン vol2,NBMC_19,2021/1/1,105×180×13 (mm),"35×55×27 (mm)
 （参考：初号機）",75 （参考：初号機）,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825220344/
海賊船 デラックスエディション,NB-050,2020/12/5,420×210×70 (mm),320× 235×110 (mm),3280,NA,12,5,https://item.rakuten.co.jp/diablock/4972825220047/
名古屋城,NBH_207,2020/11/21,140×140×45 (mm),80×95×80 (mm),550,NA,12,3,https://item.rakuten.co.jp/diablock/4972825219409/
ノートルダム大聖堂,NBH_205,2020/11/21,140×210×45 (mm),80×92×160 (mm),1040,NA,12,4,https://item.rakuten.co.jp/diablock/4972825219416/
ポケットモンスター レックウザ エクストリームDX,NBPM_074,2020/11/21,410×270×70 (mm),220×210×200 (mm),1790,NA,12,5,https://item.rakuten.co.jp/diablock/4972825220481/
ポケットモンスター ゲッコウガ,NBPM_070,2020/11/21,105×180×13 (mm),80×58×48 (mm),180,NA,12,3,https://item.rakuten.co.jp/diablock/4972825219430/
ポケットモンスター ワンパチ,NBPM_069,2020/11/21,105×180×30 (mm),34×58×64 (mm),190,NA,12,2,https://item.rakuten.co.jp/diablock/4972825219423/
ミニナノ 縁起物 2021,NBMC_15,2020/11/21,105×180×13 (mm),"48×38×17 (mm)
 (参考：鳥居）",50 (参考：鳥居）,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825219294/
ミニナノ ポケットモンスター ノーマルタイプ,NBMC_14,2020/11/21,105×180×13 (mm),"28×33×44 (mm)
 (参考:イーブイ)",60 (参考:イーブイ),NA,12,NA,https://item.rakuten.co.jp/diablock/4972825219331/
ミニナノ キン肉マン,NBMC_13,2020/11/21,105×180×13 (mm),"20×50×28 (mm)
 (参考: キン肉マン)",70 (参考: キン肉マン),NA,12,NA,https://item.rakuten.co.jp/diablock/4972825219317/
ジャイアントパンダ,NBC_328,2020/9/12,105×180×13 (mm),48×56×52 (mm),220,NA,12,2,https://item.rakuten.co.jp/diablock/4972825219126/
キリン,NBC_327,2020/9/12,105×180×13 (mm),24×116×100 (mm),220,NA,12,2,https://item.rakuten.co.jp/diablock/4972825219102/
