name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level
Mininano Ultraman,NBMC-05,2020-01-01,105×180×13,28×50×24,77,6,12,NA
Mininano Sanrio characters,NBMC-04,2020-01-01,105×180×13,36×38×12,70,6,12,NA
Mininano Evangelion,NBMC-02,2020-01-01,105×180×13,36×45×28,79,6,12,NA
ロリポップキャンディ,NBC-306,2020-01-01,105×180×13,32×62×12,150,NA,12,1
フライドポテト,NBC-305,2020-01-01,105×180×13,37×61×20,120,NA,12,2
ワイン,NBC-304,2020-01-01,105×180×13,16×77×16,160,NA,12,2
だるま,NBH-195,2019-11-16,140×140×45,64×60×64,400,NA,12,3
清水寺,NBH-194,2019-11-16,140×210×45,120×74×80,620,NA,12,3
ポケットモンスター メッソン,NBPM-061,2019-11-16,105×180×30,44×76×64,210,NA,12,2
ポケットモンスター ヒバニー,NBPM-060,2019-11-16,105×180×30,60×97×36,180,NA,12,2
ポケットモンスター サルノリ,NBPM-059,2019-11-16,105×180×30,60×73×60,190,NA,12,2
キャラナノ アグレッシブ烈子,CN-14,2019-11-16,105×140×70,74×94×48,370,NA,12,3
キャラナノ ウルトラマン ゼロ,CN-13,2019-11-16,105×140×70,44×85×55,260,NA,12,3
ミッフィー アンド キャット,NBCC-080,2019-10-01,89×74×89,90×38×20,100,NA,12,1
地球,NBM-028,2019-09-21,280×210×45,100×140×140,880,NA,12,3
ビッグ・ベン,NBH-193,2019-09-01,140×140×45,80×120×80,560,NA,12,3
パリのセーヌ河岸,NBH-192,2019-09-01,140×140×45,80×125×80,370,NA,12,3
パリ,NB-047,2019-09-01,420×210×70,240×80×190,1620,NA,12,3
ポケットモンスター メガリザードンY,NBPM-058,2019-09-01,105×180×35,108×60×76,310,NA,12,3
ポケットモンスター メガリザードンX,NBPM-057,2019-09-01,105×180×35,100×60×84,320,NA,12,3
キャラナノ 初音ミク,CN-08,2019-09-01,105×140×70,115×81×50,310,NA,12,3
アニマルDX ホホジロザメ,NBM-027,2019-07-01,280×210×45,130×100×300,680,NA,12,4
雷門 デラックスエディション,NB-046,2019-07-01,420×210×70,240×134×160,2740,NA,12,5
DORAEMON mini,NBMC-01,2019-07-01,105×180×13,33×42×31,100,6,12,NA
800系新幹線 つばめ,nGT-024,2019-07-01,140×180×20,24×32×100,180,NA,12,2
E233系 湘南新宿ライン　,nGT-023,2019-07-01,140×180×20,24×32×80,180,NA,12,2
アフリカゾウ,NBC-295,2019-07-01,105×180×13,55×45×84,200,NA,12,3
ホッキョクグマ,NBC-294,2019-07-01,105×180×13,35×38×77,160,NA,12,3
東京駅丸の内駅舎,NBH-189,2019-06-22,140×210×45,200×53×80,640,NA,12,3
龍,NBM-026,2019-06-22,280×210×45,130×200×120,700,NA,12,4
タワーブリッジ　デラックスエディション,NB-045,2019-06-22,420×210×70,320×145×120,1700,NA,12,4
ポケットモンスター　キテルグマ,NBPM-053,2019-06-22,105×180×30,60×79×44,190,NA,12,2
ポケットモンスター　ミミッキュ,NBPM-052,2019-06-22,105×180×30,60×79×44,200,NA,12,3
ポケットモンスター　モクロー,NBPM-051,2019-06-22,105×180×20,40×45×40,170,NA,12,2
ポケットモンスター　アシマリ,NBPM-050,2019-06-22,105×180×20,48×45×56,110,NA,12,3
ポケットモンスター　ニャビー,NBPM-049,2019-06-22,105×180×20,44×51×48,170,NA,12,2
キャラナノ ゴジラ 2016 第4形態,CN-07,2019-06-22,105×140×70,56×96×68,300,NA,12,2
キャラナノ エヴァンゲリオン 第4の使徒,CN-06,2019-06-22,105×140×70,78×96×40,280,NA,12,3
キャラナノ エヴァンゲリオン 初号機,CN-05,2019-06-22,105×140×70,75×115×58,290,NA,12,3
キャラナノ バルタン星人,CN-04,2019-06-22,105×140×70,68×90×40,270,NA,12,2
キャラナノ ウルトラマン,CN-03,2019-06-22,105×140×70,40×87×70,200,NA,12,2
チョコレート,NBC-290,2019-06-22,105×180×13,64×9×40,130,NA,12,2
ドラえもん,NBCC-074,2019-04-27,90×140×45,48×64×47,320,NA,12,3
平等院鳳凰堂,NBH-186,2019-04-20,140×210×45,160×77×80,790,NA,12,3
タイムマシン,NBCC-076,2019-04-20,90×140×45,80×81×120,220,NA,12,2
のび太,NBCC-075,2019-04-20,90×140×45,96×44×36,220,NA,12,3
ポケットモンスター フリーザー,NBPM-048,2019-04-20,105×180×35,80×87×72,170,NA,12,3
ポケットモンスター ファイヤー,NBPM-047,2019-04-20,105×180×35,68×75×80,190,NA,12,3
ポケットモンスター サンダー,NBPM-046,2019-04-20,105×180×35,108×72×78,240,NA,12,4
キャラナノ チコちゃんに叱られる！キョエちゃん,CN-02,2019-03-15,105×140×70,62×88×70,230,NA,12,2
キャラナノ チコちゃんに叱られる！ チコちゃん,CN-01,2019-03-15,105×140×70,58×80×40,250,NA,12,3
OSAKA CASTLE,NBH-173,2019-01-01,140×140×45,85×114×80,520,NA,12,3
ポケットモンスター ミュウ,NBPM-045,2019-01-01,105×180×13,28×57×52,90,NA,12,2
ポケットモンスター ブラッキー,NBPM-044,2019-01-01,105×180×13,44×51×60,140,NA,12,2
ポケットモンスター エーフィ,NBPM-043,2019-01-01,105×180×13,52×48×60,140,NA,12,2
姫路城 スペシャルデラックスエディション,NB-042,2018-08-11,420×280×100,240×220×240,5200,NA,12,5
東京,NB-040,2018-07-01,420×210×70,104×240×192,1280,NA,12,4
E233系京浜東北線,nGT-022,2018-07-01,140×180×30,32×24×80,180,NA,12,2
922 形新幹線電気軌道総合試験車T3編成 (ドクターイエロー),nGT-021,2018-07-01,140×180×30,32×24×92,160,NA,12,2
盆栽 松 デラックスエディション,NB-039,2018-06-23,280×210×70,195×190×115,1130,NA,12,5
ポケットモンスター コイキング,NBPM-035,2018-06-23,105×180×13,59×36×60,130,NA,12,3
ポケットモンスター ラッキー,NBPM-034,2018-06-23,105×180×13,46×48×56,140,NA,12,2
蒸気機関車(タンク式),nGT-020,2018-04-14,140×180×20,40×25×104,190,NA,12,3
南海50000系 ラピート,nGT-019,2018-04-14,140×180×20,32×24×96,190,NA,12,3
923形新幹線電気軌道総合試験車ドクターイエロー,nGT-018,2018-04-14,140×180×20,32×24×96,150,NA,12,2
E5系新幹線はやぶさ,nGT-017,2018-04-14,140×180×20,27×24×108,140,NA,12,2
光ファイバーLED + マーライオン,NBH-158,2018-03-17,140×210×45,100×80×80,300,NA,12,3
コレクションケース,NB-038,2018-03-03,140×140×45,84×95×84,NA,NA,12,NA
ポケットモンスター ホウオウ,NBPM-033,2018-01-20,105×180×35,74×84×92,180,NA,12,4
ポケットモンスター ルギア,NBPM-032,2018-01-20,105×180×35,68×84×92,190,NA,12,3
ビール,NBC-245,2018-01-20,105×180×13,53×44×36,180,NA,12,2
ブロック収納ケース,NB-035,2017-12-02,380×310×59,310×380×59,NA,NA,12,NA
ベーシックレールセット,nGS-004,2017-09-30,247×147×143,778×34×460,NA,NA,12,NA
ドラミ,NBCC-042,2017-09-23,90×140×45,44×68×52,280,NA,12,3
しずかちゃん,NBCC-041,2017-09-23,90×140×45,68×44×52,200,NA,12,2
ポケットモンスター ワニノコ,NBPM-031,2017-09-23,105×180×13,48×52×48,150,NA,12,2
ポケットモンスター チコリータ,NBPM-030,2017-09-23,105×180×13,51×32×48,90,NA,12,1
ポケットモンスター ヒノアラシ,NBPM-029,2017-09-23,105×180×13,42×40×64,150,NA,12,2
ポケットモンスター ピチュー,NBPM-028,2017-09-23,105×180×13,48×36×44,90,NA,12,1
E259系 成田エクスプレス,nGT-016,2017-09-23,140×180×20,32×24×82,170,NA,12,3
E235系 山手線,nGT-015,2017-09-23,140×180×20,32×24×82,180,NA,12,2
E231系 山手線,nGT-014,2017-09-23,140×180×20,32×24×80,170,NA,12,2
E7系新幹線,nGT-013,2017-09-23,140×180×20,32×24×96,180,NA,12,2
E6系新幹線,nGT-012,2017-09-23,140×180×20,27×24×100,140,NA,12,2
N700系新幹線,nGT-011,2017-09-23,140×180×20,32×24×96,170,NA,12,2
ニューヨーク,NB-033,2017-07-29,420×210×70,107×240×192,1480,NA,12,4
タージマハル　デラックスエディション,NB-032,2017-07-29,420×210×70,128×160×160,2210,NA,12,4
ラーメン,NBC-229,2017-07-29,105×180×13,60×47×47,140,NA,12,2
スネ夫,NBCC-040,2017-07-22,90×140×45,80×36×32,200,NA,12,2
ジャイアン,NBCC-039,2017-07-22,90×140×45,86×64×36,220,NA,12,2
五重塔 デラックスエディション,NB-031,2017-06-24,420×210×70,257×160×160,1350,NA,12,4
ポケットモンスター コダック,NBPM-024,2017-06-24,105×180×13,44×58×52,130,NA,12,2
ポケットモンスター ギャラドス,NBPM-023,2017-06-24,105×180×13,44×58×60,170,NA,12,3
